codigo_iniciativa;codigo_orgao;nome_orgao;valor_empenhado;valor_liquidado;valor_pago_financeiro;valor_liquidado_rp;valor_cancelado_processado;valor_restabelecido_processado;valor_cancelado_nao_processado;valor_restabelecido_nao_processado;valor_cancelado_rp;valor_empenhado_efetivo;valor_pago_processado;valor_pago_nao_processado;valor_pago_rp;valor_pago_total
9445683;4291;FUNDO ESTADUAL DE SAUDE;156450857,0;70847450,34;70847450,34;;;;;;;156450857,0;;;;70847450,34
9445684;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;353586,41;345872,73;345872,73;;;;;;;353586,41;;;;345872,73
9445718;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;6030471,4;6028400,95;5528400,95;;;;;;;6030471,4;;;;5528400,95
9445721;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;9360945,0;0,0;0,0;;;;;;;9360945,0;;;;0,0
9452379;1491;SECRETARIA DE ESTADO DE GOVERNO;5000000,0;5000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5000000,0;2500000,0;0,0;2500000,0;2500000,0
9452379;2301;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;377200278,81;183039448,59;170878454,75;19134958,28;0,0;0,0;10601950,53;23767,08;10625717,61;366574561,2;5029440,01;17316264,71;22345704,72;193224159,47
9456622;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;63156,57;63156,57;52124,13;;;;;;;63156,57;;;;52124,13
9456627;1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;14888,88;0,0;0,0;;;;;;;14888,88;;;;0,0
9456627;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;2400949,0;0,0;0,0;172000,0;0,0;0,0;0,0;0,0;0,0;2400949,0;0,0;169987,02;169987,02;169987,02
9456627;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;376381,87;126290,67;124982,21;;;;;;;376381,87;;;;124982,21
9468055;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;364747,57;304401,1;257526,78;31325,06;0,0;0,0;9651,6;0,0;9651,6;355095,97;0,0;26472,9;26472,9;283999,68
9468055;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;336260,15;300305,3;230397,28;0,0;0,0;0,0;0,0;0,0;0,0;336260,15;23722,79;0,0;23722,79;254120,07
9468055;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;513818,81;424862,65;359581,36;44810,88;0,0;0,0;0,0;0,0;0,0;513818,81;1339,42;37860,38;39199,8;398781,16
9468055;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;4975358,49;3652657,62;3093705,22;302674,08;0,0;0,0;726037,97;0,0;726037,97;4249320,52;12856,3;255763,76;268620,06;3362325,28
9468055;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;524988,46;441205,77;372023,36;46987,59;0,0;0,0;0,0;0,0;0,0;524988,46;0,0;39709,36;39709,36;411732,72
9468057;1371;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;10849751,62;10284309,58;7624144,79;565340,29;0,0;0,0;0,0;0,0;0,0;10849751,62;0,0;476940,26;476940,26;8101085,05
9470658;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;2592199,31;296909,12;296909,12;911541,98;0,0;0,0;1383748,21;0,0;1383748,21;1208451,1;0,0;878501,92;878501,92;1175411,04
9473170;2301;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;736365,61;350401,39;350401,39;188341,65;0,0;0,0;197622,57;0,0;197622,57;538743,04;0,0;188341,65;188341,65;538743,04
9473171;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;14921954,12;4185468,88;4177602,88;3019937,2;0,0;0,0;0,0;0,0;0,0;14921954,12;0,0;2903278,44;2903278,44;7080881,32
9474703;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;79058892,35;78541892,26;77547634,67;517000,0;0,0;0,0;0,09;0,0;0,09;79058892,26;0,0;509950,0;509950,0;78057584,67
9480259;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;8657552,06;8539867,95;8540229,95;;;;;;;8657552,06;;;;8540229,95
9480440;2241;INSTITUTO MINEIRO DE GESTAO DAS AGUAS;8635921,62;8635921,62;8635921,62;;;;;;;8635921,62;;;;8635921,62
9493230;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;3500000,0;0,0;0,0;;;;;;;3500000,0;;;;0,0
9493391;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;11399338,2;0,0;0,0;;;;;;;11399338,2;;;;0,0
9494511;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;3930785,97;0,0;0,0;;;;;;;3930785,97;;;;0,0
9501912;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;18665002,7;18665002,7;5599500,81;;;;;;;18665002,7;;;;5599500,81
9501917;1491;SECRETARIA DE ESTADO DE GOVERNO;7500000,0;7500000,0;3750000,0;;;;;;;7500000,0;;;;3750000,0
